N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974,82.00274,6.50299,202.93554,rice
85,58,41,21.77046,80.31964,7.03809,226.65554,rice
60,55,44,23.00446,82.32076,7.84021,263.96425,rice
74,35,40,26.49110,80.15836,6.98040,242.86403,rice
78,42,42,20.13017,81.60487,7.62847,262.71734,rice
69,55,38,23.05805,83.37012,7.07345,251.05500,rice
69,55,55,22.70884,82.63941,5.70081,271.32486,rice
94,53,40,20.27774,82.89409,5.71863,241.97419,rice
89,54,38,24.51588,83.53522,6.68535,230.44624,rice
68,58,38,23.60302,83.03322,6.39694,241.49433,rice
91,53,40,26.53391,81.41754,5.38617,264.61487,rice
90,46,42,23.97898,81.45062,7.50283,250.08323,rice
78,58,44,26.80080,80.88685,5.10868,274.45586,rice
93,56,36,24.01498,82.05687,6.98435,185.27734,rice
94,50,37,25.66585,80.66385,6.94802,209.58697,rice
60,48,39,24.28638,80.30026,7.04227,231.08633,rice
85,58,41,20.77576,84.45781,6.24203,240.08107,rice
91,35,39,23.79392,80.41818,6.97086,207.25212,rice
77,38,42,21.86525,80.19230,5.95393,224.55502,rice
88,54,40,23.57944,83.58761,6.11202,237.76826,rice
76,44,40,21.36509,80.75961,7.07045,202.93841,rice
61,38,43,25.15558,83.11714,5.22946,217.45552,rice
67,59,41,21.94767,80.97384,6.01266,213.35609,rice
83,41,43,21.05254,82.67840,6.25403,263.31469,rice
98,47,37,23.48381,81.25992,7.37548,224.05813,rice
96,56,40,24.07354,83.05280,6.52528,212.55513,rice
67,46,42,20.61262,81.41109,7.37917,270.08588,rice
83,52,43,24.52923,80.54499,7.07046,261.02688,rice
82,45,38,20.77089,84.10298,6.24933,262.77734,rice
84,51,35,20.40456,84.26908,6.29224,224.08098,rice
73,58,44,22.10766,81.58825,7.88796,262.88801,rice
92,35,40,23.53492,80.37909,6.96969,242.06403,rice
85,58,41,21.77046,80.31964,7.03809,226.65554,rice
71,54,16,22.61360,63.69071,5.74991,87.75954,maize
61,44,17,26.10018,71.57477,6.93175,102.26624,maize
80,43,16,23.55882,71.59735,6.65796,66.71996,maize
73,58,21,19.97216,57.68273,6.59606,60.65172,maize
61,38,20,18.47891,62.18784,6.27253,70.83381,maize
65,57,19,20.04614,68.93108,6.45306,65.11366,maize
68,59,15,22.40419,67.72621,7.21858,90.75164,maize
86,40,23,24.92162,66.78627,5.75026,109.21405,maize
77,44,20,20.76722,60.52589,6.55016,110.66178,maize
62,49,16,26.54100,57.78084,7.48017,84.79354,maize
91,49,25,24.96493,67.24584,6.38520,77.88792,maize
75,56,22,25.62736,55.15216,6.58169,82.46337,maize
67,35,22,24.97256,56.18520,6.53391,67.66155,maize
60,54,19,25.01019,67.52853,6.33111,73.83446,maize
92,38,20,24.81441,69.58414,6.83303,72.24851,maize
75,54,24,20.91740,58.28559,6.42607,69.80131,maize
89,35,18,25.96633,67.23675,6.36231,67.43794,maize
67,49,22,25.26781,61.70586,6.59583,97.72861,maize
93,41,17,25.59048,68.02492,6.92422,83.06325,maize
76,44,17,19.02061,71.91253,7.32631,63.50731,maize
36,68,77,17.02498,16.55040,7.48549,76.68388,chickpea
35,64,78,19.02061,17.13139,6.92045,79.92698,chickpea
40,72,77,17.88776,15.40590,5.99692,68.54933,chickpea
24,67,79,18.86806,15.65809,6.39117,88.51049,chickpea
38,72,78,19.00939,17.13693,6.97434,76.50508,chickpea
28,78,84,17.63653,18.89516,6.43574,84.15682,chickpea
33,62,75,17.14187,17.84279,7.56846,73.23576,chickpea
30,73,81,18.96203,15.71764,7.10959,77.07659,chickpea
22,72,85,17.43389,17.02700,7.63660,70.52843,chickpea
36,78,82,18.73024,19.57864,7.40939,77.72124,chickpea
28,74,75,17.38202,15.65213,6.17060,79.37894,chickpea
29,78,82,18.25409,19.64166,6.33120,67.75549,chickpea
37,60,78,18.52809,17.75529,6.01267,73.49841,chickpea
23,73,78,17.74797,17.91572,7.31976,72.49392,chickpea
