Crop,N,P,K,temperature,humidity,ph,rainfall,Area_ha,Yield_tonnes_per_ha,Total_Production_tonnes
rice,85,48,40,24.12,83.45,6.42,238.10,3.5,4.18,14.63
rice,79,45,39,23.50,81.20,6.35,245.50,2.0,4.25,8.50
rice,82,50,42,22.80,84.10,6.50,225.00,4.0,4.12,16.48
rice,75,44,38,24.50,80.50,6.20,255.00,1.5,4.05,6.08
rice,88,52,41,23.10,82.90,6.60,230.20,5.0,4.31,21.55
maize,78,48,20,22.40,65.10,6.20,85.00,4.0,5.85,23.40
maize,82,50,22,23.10,67.50,6.40,90.20,2.5,5.92,14.80
maize,74,45,19,21.80,63.20,6.10,80.50,3.0,5.74,17.22
maize,80,52,21,24.00,68.00,6.50,95.00,6.0,5.68,34.08
maize,76,46,18,22.00,64.00,6.30,82.00,1.8,5.80,10.44
chickpea,40,68,80,18.80,16.80,7.30,80.00,3.5,1.82,6.37
chickpea,38,65,78,19.20,17.50,7.10,84.00,2.0,1.79,3.58
chickpea,42,70,82,18.40,16.20,7.40,76.50,4.5,1.85,8.32
chickpea,39,67,79,19.00,17.00,7.20,82.00,1.2,1.81,2.17
kidneybeans,21,67,20,20.10,21.60,5.70,105.00,2.5,1.61,4.02
kidneybeans,23,70,22,19.80,22.40,5.80,110.00,3.0,1.64,4.92
kidneybeans,19,64,18,20.50,20.80,5.60,98.00,1.5,1.57,2.36
pigeonpeas,21,68,20,27.70,48.00,5.80,149.00,4.0,1.52,6.08
pigeonpeas,24,72,22,28.50,50.20,6.00,155.00,2.5,1.48,3.70
pigeonpeas,19,65,18,26.80,45.80,5.70,142.00,3.5,1.54,5.39
mothbeans,21,48,20,28.20,53.20,6.80,51.20,5.0,1.21,6.05
mothbeans,23,50,22,29.00,55.00,7.10,55.00,2.0,1.18,2.36
mungbean,21,47,20,28.50,85.50,6.70,48.40,3.0,1.32,3.96
mungbean,24,50,22,29.10,87.00,6.90,52.00,2.2,1.29,2.84
blackgram,40,67,19,29.90,65.00,7.10,67.80,3.5,1.41,4.94
blackgram,42,70,21,30.50,67.00,7.30,72.00,2.0,1.38,2.76
lentil,19,68,19,24.50,64.80,6.90,45.70,4.0,1.51,6.04
lentil,21,71,21,25.20,66.50,7.10,48.50,1.8,1.49,2.68
pomegranate,19,19,40,21.80,90.10,6.40,107.50,2.0,13.62,27.24
pomegranate,22,22,42,22.50,92.00,6.60,112.00,3.5,13.85,48.48
banana,100,82,50,27.40,80.40,5.98,104.60,4.0,42.40,169.60
banana,105,85,52,28.10,82.00,6.10,110.00,2.5,43.10,107.75
banana,95,78,48,26.80,78.50,5.85,98.00,5.0,41.20,206.00
mango,20,27,30,31.20,50.20,5.77,94.70,6.0,12.15,72.90
mango,23,30,32,32.00,52.00,6.00,99.00,3.0,11.80,35.40
grapes,23,132,200,23.80,81.90,6.00,69.60,2.5,21.65,54.12
grapes,25,136,204,24.50,83.50,6.15,72.50,3.0,22.10,66.30
watermelon,99,17,50,25.60,85.20,6.50,50.80,3.0,36.40,109.20
watermelon,104,20,53,26.20,87.00,6.70,54.00,4.5,37.10,166.95
muskmelon,100,17,50,28.60,92.30,6.36,24.70,2.0,26.20,52.40
muskmelon,105,19,52,29.20,94.00,6.50,26.50,3.5,26.80,93.80
apple,21,134,200,22.60,92.30,5.93,112.70,2.0,18.65,37.30
apple,23,138,203,23.10,93.80,6.10,116.00,3.0,19.10,57.30
orange,20,16,10,22.80,92.20,7.01,110.50,4.0,21.25,85.00
orange,22,18,12,23.50,94.00,7.20,115.00,2.5,21.80,54.50
papaya,50,59,50,33.70,92.40,6.74,142.60,1.5,48.50,72.75
papaya,54,63,53,34.50,94.00,6.90,150.00,2.0,49.20,98.40
coconut,22,17,30,27.40,95.00,5.98,175.70,5.0,11.65,58.25
coconut,25,19,32,28.00,97.00,6.15,182.00,3.5,11.90,41.65
cotton,118,46,20,24.00,79.80,6.91,80.40,4.5,2.44,10.98
cotton,122,49,22,24.60,82.00,7.10,85.00,6.0,2.48,14.88
jute,78,47,40,25.00,79.60,6.73,174.80,3.0,3.14,9.42
jute,82,50,42,25.60,81.50,6.90,180.00,2.5,3.20,8.00
coffee,101,29,30,25.50,58.90,6.79,158.10,4.0,1.93,7.72
coffee,105,32,32,26.20,61.00,7.00,165.00,2.0,1.96,3.92
